Asset Event Count (by Type),,,
Shows number of events per event type and asset,,,
Report Parameters,,,
StartTimeFilter: 01/11/2017 08:36:00 GMT,,,
EndTimeFilter: 16/11/2017 08:36:00 GMT,,,
Language: English,,,
Asset,,Event Type,Occurrences
KW-95/15714,,Geofence Exit,40
KW-95/15714,,Geofence Entry,40
KW-95/15714,,Overspeed End,1
KW-95/15714,,Overspeed Start,1
KW-95/15714,,Power Up,3
KW-95/15714,,Idle End,3
KW-95/15714,,Idle Start,3
KW-95/15714,Count: 18,,Sum: 1595
KWI 91-35940,,,
KWI 91/36314,,,
KWI 91/36314,,Heartbeat,36
KWI 91/36314,,Tag Out,54
KWI 91/36314,,Journey Summary,51
KWI 91/36314,,Stop Moving,186
KWI 91/36314,,Ignition Off,54
KWI 91/36314,,Position Report,457
KWI 91/36314,,CAN Periodic,254
KWI 91/36314,,Start Moving,185
KWI 91/36314,,Ignition On,54
KWI 91/36314,,Tag In,54
KWI 91/36314,,Power Up,4
KWI 91/36314,,Geofence Exit,23
KWI 91/36314,,Geofence Entry,23
KWI 91/36314,,Overspeed End,1
KWI 91/36314,,Overspeed Start,1
KWI 91/36314,,Driving Duration Violation,1
KWI 91/36314,,Idle End,3
KWI 91/36314,,Idle Start,3
KWI 91/36314,Count: 18,,Sum: 1444
KWI 91/38990,,,
KWI 91/38990,,Heartbeat,36
KWI 91/38990,,Ignition Off,40
KWI 91/38990,,Ignition On,39
KWI 91/38990,,Journey Summary,39
KWI 91/38990,,Stop Moving,130
KWI 91/38990,,Position Report,218
KWI 91/38990,,Start Moving,129
KWI 91/38990,,CAN Periodic,253
KWI 91/38990,,Driving Duration Violation,1
KWI 91/38990,,Geofence Exit,27
KWI 91/38990,,Geofence Entry,27
KWI 91/38990,,Power Up,3
KWI 91/38990,,Idle End,2
KWI 91/38990,,Idle Start,2
KWI 91/38990,,Overspeed End,2
KWI 91/38990,,Overspeed Start,2
KWI 91/38990,,Tag Out,1
KWI 91/38990,,Tag In,1
KWI 91/38990,Count: 18,,Sum: 952
KWI 91/7918,,,
KWI 91/7918,,Ignition On,38
KWI 91/7918,,Tag In,37
KWI 91/7918,,Heartbeat,35
KWI 91/7918,,Tag Out,37
KWI 91/7918,,Journey Summary,35
KWI 91/7918,,Stop Moving,168
KWI 91/7918,,Ignition Off,35
KWI 91/7918,,Position Report,312
KWI 91/7918,,Start Moving,168
KWI 91/7918,,CAN Periodic,294
KWI 91/7918,,Power Up,4
KWI 91/7918,,Driving Duration Violation,1
KWI 91/7918,,Geofence Exit,40
KWI 91/7918,,Geofence Entry,40
KWI 91/7918,,Idle End,4
KWI 91/7918,,Idle Start,4
KWI 91/7918,Count: 16,,Sum: 1252
KWI 95/15711,,,
KWI 95/15711,,Heartbeat,36
KWI 95/15711,,Power Up,5
KWI 95/15711,,Tag Out,5
KWI 95/15711,,Stop Moving,12
KWI 95/15711,,Journey Summary,10
KWI 95/15711,,Ignition Off,11
KWI 95/15711,,Position Report,39
KWI 95/15711,,Start Moving,12
KWI 95/15711,,CAN Periodic,14
KWI 95/15711,,Ignition On,11
KWI 95/15711,,Tag In,5
KWI 95/15711,Count: 11,,Sum: 160
KWI 95/15712,,,
KWI 95/15712,,Heartbeat,36
KWI 95/15712,,Power Up,5
KWI 95/15712,,Tag Out,28
KWI 95/15712,,Journey Summary,28
KWI 95/15712,,Ignition Off,29
KWI 95/15712,,Ignition On,29
KWI 95/15712,,Tag In,27
KWI 95/15712,,Stop Moving,95
KWI 95/15712,,Position Report,196
KWI 95/15712,,CAN Periodic,182
KWI 95/15712,,Start Moving,94
KWI 95/15712,,Geofence Exit,37
KWI 95/15712,,Geofence Entry,38
KWI 95/15712,,Driving Duration Violation,2
KWI 95/15712,Count: 14,,Sum: 826
KWI 95/15715,,,
KWI 95/15715,,Heartbeat,35
KWI 95/15715,,Power Up,6
KWI 95/15715,,Tag Out,57
KWI 95/15715,,Journey Summary,56
KWI 95/15715,,Stop Moving,173
KWI 95/15715,,Ignition Off,56
KWI 95/15715,,Position Report,445
KWI 95/15715,,CAN Periodic,415
KWI 95/15715,,Start Moving,173
KWI 95/15715,,Ignition On,58
KWI 95/15715,,Tag In,57
KWI 95/15715,,Geofence Exit,51
KWI 95/15715,,Geofence Entry,51
KWI 95/15715,,Idle End,10
KWI 95/15715,,Idle Start,10
KWI 95/15715,,Driving Duration Violation,2
KWI 95/15715,Count: 16,,Sum: 1655
QAT 144029,,,
QAT 144029,,CAN Periodic,288
QAT 144029,,Position Report,721
QAT 144029,,Heartbeat,36
QAT 144029,,Start Moving,205
QAT 144029,,Stop Moving,204
QAT 144029,,Ignition On,68
QAT 144029,,Tag In,66
QAT 144029,,Tag Out,65
QAT 144029,,Journey Summary,63
QAT 144029,,Ignition Off,65
QAT 144029,,Power Up,6
QAT 144029,,Driving Duration Violation,10
QAT 144029,,External Power Restore,2
QAT 144029,,External Power Loss,2
QAT 144029,Count: 14,,Sum: 1801
QAT 144143,,,
QAT 144143,,Heartbeat,35
QAT 144143,,Tag Out,94
QAT 144143,,Journey Summary,92
QAT 144143,,Stop Moving,315
QAT 144143,,Ignition Off,97
QAT 144143,,Position Report,1335
QAT 144143,,Start Moving,315
QAT 144143,,Ignition On,96
QAT 144143,,Tag In,93
QAT 144143,,CAN Periodic,558
QAT 144143,,Power Up,4
QAT 144143,,Idle End,3
QAT 144143,,Idle Start,3
QAT 144143,Count: 13,,Sum: 3040
QAT 144275,,,
QAT 144275,,Stop Moving,279
QAT 144275,,Position Report,1058
QAT 144275,,Start Moving,279
QAT 144275,,CAN Periodic,726
QAT 144275,,Heartbeat,35
QAT 144275,,Tag In,47
QAT 144275,,Ignition On,54
QAT 144275,,Tag Out,46
QAT 144275,,Journey Summary,47
QAT 144275,,Ignition Off,52
QAT 144275,,Power Up,4
QAT 144275,,Idle End,12
QAT 144275,,Idle Start,12
QAT 144275,Count: 13,,Sum: 2651
QAT 144309,,,
QAT 144309,,Position Report,1283
QAT 144309,,CAN Periodic,867
QAT 144309,,Heartbeat,36
QAT 144309,,Start Moving,281
QAT 144309,,Stop Moving,281
QAT 144309,,Ignition On,86
QAT 144309,,Tag In,64
QAT 144309,,Tag Out,64
QAT 144309,,Journey Summary,60
QAT 144309,,Ignition Off,68
QAT 144309,,Power Up,22
QAT 144309,,Idle End,14
QAT 144309,,Idle Start,16
QAT 144309,,External Power Restore,1
QAT 144309,,External Power Loss,1
QAT 144309,Count: 15,,Sum: 3144
QAT 214082,,,
QAT 214082,,Heartbeat,30
QAT 214082,,Tag Out,66
QAT 214082,,Journey Summary,56
QAT 214082,,Ignition Off,64
QAT 214082,,CAN Periodic,199
QAT 214082,,Stop Moving,124
QAT 214082,,Position Report,514
QAT 214082,,Start Moving,124
QAT 214082,,Ignition On,64
QAT 214082,,Tag In,66
QAT 214082,,Power Up,6
QAT 214082,,External Power Restore,6
QAT 214082,,External Power Loss,6
QAT 214082,,Idle End,1
QAT 214082,,Idle Start,1
QAT 214082,Count: 15,,Sum: 1327
QAT 217258,,,
QAT 217258,,Heartbeat,36
QAT 217258,,Tag Out,29
QAT 217258,,Journey Summary,28
QAT 217258,,Stop Moving,138
QAT 217258,,Ignition Off,28
QAT 217258,,CAN Periodic,272
QAT 217258,,Position Report,769
QAT 217258,,Start Moving,138
QAT 217258,,Ignition On,29
QAT 217258,,Tag In,29
QAT 217258,,Power Up,4
QAT 217258,Count: 11,,Sum: 1500
QAT 217324,,,
QAT 217324,,CAN Periodic,400
QAT 217324,,Position Report,1530
QAT 217324,,Start Moving,349
QAT 217324,,Stop Moving,349
QAT 217324,,Heartbeat,35
QAT 217324,,Ignition On,32
QAT 217324,,Tag In,32
QAT 217324,,Tag Out,32
QAT 217324,,Journey Summary,31
QAT 217324,,Ignition Off,31
QAT 217324,,Power Up,4
QAT 217324,,Idle End,3
QAT 217324,,Idle Start,3
QAT 217324,Count: 13,,Sum: 2831
QAT 217992,,,
QAT 217992,,Heartbeat,34
QAT 217992,,Tag Out,42
QAT 217992,,Journey Summary,36
QAT 217992,,Ignition Off,40
QAT 217992,,Stop Moving,231
QAT 217992,,Position Report,842
QAT 217992,,CAN Periodic,288
QAT 217992,,Start Moving,231
QAT 217992,,Ignition On,41
QAT 217992,,Tag In,42
QAT 217992,,Idle End,3
QAT 217992,,Idle Start,3
