Asset Event History,,,,,,,,
Lists the event history within the specified period for the selected assets,,,,,,,,
Report Parameters,,,,,,,,
StartTimeFilter: 01/11/2017 08:10:00 GMT,,,,,,,,
EndTimeFilter: 16/11/2017 08:10:00 GMT,,,,,,,,
"SelectedEventTypes: CAN Periodic,Command Response,Digital Input 8 Off,Digital Input 8 On,Driving Duration Violation,External Power Loss,External Power Restore,Geofence Entry,Geofence Exit,Heartbeat,Idle End,Idle Start,Ignition Off,Ignition On,Journey Periodic,Journey Summary,Normal Mode On,Overspeed End,Overspeed Start,Poll Response,Position Report,Power Up,Service Mode On,Start Moving,Stop Moving,Tag In,Tag Out,Terminal Connected,Terminal Disconnected,Towing",,,,,,,,
Timezone: GMT,,,,,,,,
GeoReferenceSystem: Global,,,,,,,,
Language: English,,,,,,,,
Asset,Event,Event Type,Event Time,Position,Position URL,Odometer,Speed,Geo Reference
AD 1/91351,External Power Loss,External Power Loss,12/11/2017 06:00:21 GMT,"24.336700°N, 54.474400°E","24.336700°N, 54.474400°E",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,Tag Out,Tag Out,12/11/2017 05:37:36 GMT,"24.337000°N, 54.474701°E","24.337000°N, 54.474701°E",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,Journey Summary,Journey Summary,12/11/2017 05:37:11 GMT,"24.336901°N, 54.474400°E","24.336901°N, 54.474400°E",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,Ignition Off,Ignition Off,12/11/2017 05:37:10 GMT,"24.336901°N, 54.474400°E","24.336901°N, 54.474400°E",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,CAN Periodic,CAN Periodic,12/11/2017 05:24:50 GMT,"24.336599°N, 54.474400°E","24.336599°N, 54.474400°E",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,CAN Periodic,CAN Periodic,12/11/2017 05:09:50 GMT,"24.336399°N, 54.474602°E","24.336399°N, 54.474602°E",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,CAN Periodic,CAN Periodic,12/11/2017 04:54:50 GMT,"24.336700°N, 54.474201°E","24.336700°N, 54.474201°E",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,Power Up,Power Up,12/11/2017 04:42:24 GMT,"24.336700°N, 54.474400°E","24.336700°N, 54.474400°E",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/91351,Ignition On,Ignition On,12/11/2017 04:39:52 GMT,"24.336700°N, 54.474400°E","24.336700°N, 54.474400°E",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/91351,Tag In,Tag In,05/11/2017 10:07:52 GMT,"24.336700°N, 54.474400°E","24.336700°N, 54.474400°E",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/91351,External Power Restore,External Power Restore,05/11/2017 10:07:48 GMT,"24.336700°N, 54.474400°E","24.336700°N, 54.474400°E",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/91351,Heartbeat,Heartbeat,05/11/2017 08:00:00 GMT,"24.336700°N, 54.474400°E","24.336700°N, 54.474400°E",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,Command Response,Command Response,05/11/2017 06:51:22 GMT,,,0,,Unknown Location
AD 1/91351,Power Up,Power Up,05/11/2017 06:29:12 GMT,"24.336599°N, 54.474400°E","24.336599°N, 54.474400°E",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,Power Up,Power Up,05/11/2017 06:08:19 GMT,"24.336800°N, 54.474201°E","24.336800°N, 54.474201°E",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,External Power Loss,External Power Loss,05/11/2017 05:51:33 GMT,"24.336599°N, 54.474201°E","24.336599°N, 54.474201°E",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,Tag Out,Tag Out,05/11/2017 05:51:02 GMT,"24.336700°N, 54.474201°E","24.336700°N, 54.474201°E",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,Idle End,Idle End,05/11/2017 05:50:37 GMT,"24.336800°N, 54.474300°E","24.336800°N, 54.474300°E",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,Journey Summary,Journey Summary,05/11/2017 05:50:37 GMT,"24.336800°N, 54.474300°E","24.336800°N, 54.474300°E",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,Ignition Off,Ignition Off,05/11/2017 05:50:36 GMT,"24.336800°N, 54.474300°E","24.336800°N, 54.474300°E",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,CAN Periodic,CAN Periodic,05/11/2017 05:49:58 GMT,"24.336901°N, 54.474400°E","24.336901°N, 54.474400°E",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,CAN Periodic,CAN Periodic,05/11/2017 05:34:58 GMT,"24.336700°N, 54.474300°E","24.336700°N, 54.474300°E",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,Idle Start,Idle Start,05/11/2017 05:34:58 GMT,"24.336700°N, 54.474300°E","24.336700°N, 54.474300°E",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,Position Report,Position Report,05/11/2017 05:24:56 GMT,"24.336700°N, 54.474300°E","24.336700°N, 54.474300°E",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,CAN Periodic,CAN Periodic,05/11/2017 05:19:58 GMT,"24.336700°N, 54.474201°E","24.336700°N, 54.474201°E",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,CAN Periodic,CAN Periodic,05/11/2017 05:04:58 GMT,"24.336599°N, 54.474300°E","24.336599°N, 54.474300°E",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,CAN Periodic,CAN Periodic,05/11/2017 04:49:58 GMT,"24.336599°N, 54.474201°E","24.336599°N, 54.474201°E",982744,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE"
AD 1/91351,Power Up,Power Up,05/11/2017 04:37:35 GMT,"24.336800°N, 54.474400°E","24.336800°N, 54.474400°E",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/91351,Count: 29,,Range: 05/11/2017 04:37:35 GMT to 12/11/2017 08:00:00 GMT,,,,,
Grand Totals,,,,,,,,
,Count: 100,,Range: 01/11/2017 20:00:00 GMT to 14/11/2017 08:00:00 GMT,,,,,
