Asset Event History,,,,,,,,
Lists the event history within the specified period for the selected assets,,,,,,,,
Report Parameters,,,,,,,,
StartTimeFilter: 01/12/2017 00:01:00 GMT,,,,,,,,
EndTimeFilter: 06/12/2017 05:23:00 GMT,,,,,,,,
"SelectedEventTypes: CAN Periodic,Command Response,Digital Input 8 Off,Digital Input 8 On,Driving Duration Violation,External Power Loss,External Power Restore,Geofence Entry,Geofence Exit,Heartbeat,Idle End,Idle Start,Ignition Off,Ignition On,Journey Periodic,Journey Summary,Normal Mode On,Overspeed End,Overspeed Start,Poll Response,Position Report,Power Up,Service Mode On,Start Moving,Stop Moving,Tag In,Tag Out,Terminal Connected,Terminal Disconnected,Towing",,,,,,,,
Timezone: GMT,,,,,,,,
GeoReferenceSystem: Global,,,,,,,,
Language: English,,,,,,,,
Asset,Event,Event Type,Event Time,Position,Position URL,Odometer,Speed,Geo Reference
AD 1/63236,Heartbeat,Heartbeat,04/12/2017 20:00:00 GMT,"24.336599øN, 54.474499øE","24.336599øN, 54.474499øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63236,Tag Out,Tag Out,04/12/2017 09:01:42 GMT,"24.336599øN, 54.474499øE","24.336599øN, 54.474499øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63236,Journey Summary,Journey Summary,04/12/2017 09:01:18 GMT,"24.336599øN, 54.474499øE","24.336599øN, 54.474499øE",631701,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63236,Ignition Off,Ignition Off,04/12/2017 09:01:17 GMT,"24.336599øN, 54.474499øE","24.336599øN, 54.474499øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63236,CAN Periodic,CAN Periodic,04/12/2017 09:00:23 GMT,"24.336599øN, 54.474499øE","24.336599øN, 54.474499øE",631701,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63236,CAN Periodic,CAN Periodic,04/12/2017 08:45:23 GMT,"24.336599øN, 54.474499øE","24.336599øN, 54.474499øE",631701,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63236,CAN Periodic,CAN Periodic,04/12/2017 08:30:23 GMT,"24.336599øN, 54.474499øE","24.336599øN, 54.474499øE",631701,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63236,Ignition On,Ignition On,04/12/2017 08:15:23 GMT,"24.336599øN, 54.474499øE","24.336599øN, 54.474499øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63236,Tag In,Tag In,04/12/2017 08:15:09 GMT,"24.336599øN, 54.474499øE","24.336599øN, 54.474499øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
AD 1/63236,Heartbeat,Heartbeat,04/12/2017 08:00:00 GMT,"24.336599øN, 54.474499øE","24.336599øN, 54.474499øE",0,,"18.1 km SE from Abu Dhabi,United Arab Emirates,AE *"
